"NOR","NORMANDY SPORT GIR","FR"
"JAN","JANOD",""
"BBR","BERENGUER BAMBOLE",""
"LOI","L'OISEAU BATEAU",""
"KAL","KALOO",""
"FII","FIIGO",""
"VKT","VIKING TOYS",""
"EDT","EDITOR",""
"DAM","DAM","BELGI"
"MI3","MIG 3",""
"PRZ","PREZIOSI TOYS",""
"KAP","KAPLA",""
"STT","STERNTALER",""
"RAI","RAINBOW TOYS",""
"CRT","CREATIVAMENTE",""
"m","",""
"BLM","BLUE MEDIA SRL",""
"c","",""
"ACN","ACTION NOW",""
"APL","APLUS",""
"CIM","CIMENTI MARCO",""
"","",""
"NEN","NENUCO",""
"UPP","UPPER DECK",""
"MNT","MONTURELLO",""
"26","","t005"
"GEW","GEOWORLD GROUP",""
"GRN","GARLANDO",""
"MOU","MOULIN ROTI",""
"RIS","ICO",""
"","",""
"","",""
"","",""

